Depth: 1, Accuracy: 0.9114
Depth: 2, Accuracy: 0.9114
Depth: 3, Accuracy: 0.9114
Depth: 4, Accuracy: 0.9114
Depth: 5, Accuracy: 0.9114
Depth: 6, Accuracy: 0.9114
Depth: 7, Accuracy: 0.9114
Depth: 8, Accuracy: 0.9114
Depth: 9, Accuracy: 0.9114
Depth: 10, Accuracy: 0.9114
Depth: 11, Accuracy: 0.9114
Depth: 12, Accuracy: 0.9114
Depth: 13, Accuracy: 0.9114
Depth: 14, Accuracy: 0.9114
Depth: 15, Accuracy: 0.9114
Depth: 16, Accuracy: 0.9114
Depth: 17, Accuracy: 0.9114
Depth: 18, Accuracy: 0.9114
Depth: 19, Accuracy: 0.9114
Depth: 20, Accuracy: 0.9114
Depth: 21, Accuracy: 0.9114
Depth: 22, Accuracy: 0.9114
Depth: 23, Accuracy: 0.9114
Depth: 24, Accuracy: 0.9114
Depth: 25, Accuracy: 0.9114
Depth: 26, Accuracy: 0.9114
Depth: 27, Accuracy: 0.9114
Depth: 28, Accuracy: 0.9114
Depth: 29, Accuracy: 0.9114
